,Q1,Q3,Q4,message,length,message_2,colour_green,colour_blue
47,Blue,23,"b[[Q<6ya4V5/ec,^""4g`Z>nvu1]_9oC9j;Od%fgoXJ))bhO81F,4A<XB]*2^uD!h3",2,65,1,0,1
48,Blue,17," &Arm7sQap'`WWLY+IO<U9xb{PBu[ju>{XGeFYYu}_9]#f~agd*b^pm5F<=>c""$qPE;)yU cSSW",2,75,1,0,1
49,Red,75,"fV_,5n}YdP?Gmu;p%UsI`*+|9?hiekft",2,32,1,0,0
50,Green,70,"\""?^O$ZJVvySO*t+<Rz#KT2^('7UWmhlU81-'vtA?}XOF4Sc1S,~E<4mNb{levbeQ!&c2Gav]0g)jGGyOP[",1,83,0,1,0
51,Green,65,IFO/KJN`bOgTdEg&]DT9g_G,2,23,1,1,0
52,Blue,30,"\zoBAC{JsX6VA7Z~(1Pyv?.sw,/V[J<H2.AW>tP.K,kx5r.$Hn}3aPZ3",1,56,0,0,1
53,Blue,1,"/UN#ilo3SlfH0n*MQEWW-ytJ20X./vK'Do^  (gi""<Kk$f4KNS;pr?R?CHj""X1d4n""Bbj!~ta-:G%|WsS%v%Q%",2,86,1,0,1
54,Red,24,",=8uwqHqoQ,qo*q*#>fnK.\ofKE!> pMio1R|%CBkg3Dq@<2Rx""-w;<O*Sh%a7Om~$Wg!a[1,L&_UIofcr",1,82,0,0,0
55,Red,70,dNb>Z9ySKoorEI)\DjV<;]&'+$y,2,27,1,0,0
56,Green,58,"f!bCkr~D;}}.>Gw9?&{&uh7q/_k+u""]sHBNeWtS6-{5<PdQS(Jsv""T.cn9i)zX",1,62,0,1,0
57,Red,82,M,2,1,1,0,0
58,Red,18,"pe;^Ku@Tk$dCzJ_7UR""=5v<dJ#gzyq5x]C&1w)-La>)3H~?u:c5X}):H}qfCYnKnbyG)^Z}""5A#3|T4[vT`M&?j",1,87,0,0,0
59,Red,78,h[J$XZ7Ska<5--`!MUr#;rxB(X]j~n!PL#@XE1`7Z>^?s{dc[B*]2nm3ob*sm:Zuw)y8rd%%fn j:&)MAaR0m}vYb?\6#/@i,1,96,0,0,0
60,Green,25,")JS/.S{,ddt'S2Td_pgQw'?GKp5W+rS<|mNHJYw!k8$&+pEp2zc<i\W4!]U7/YMx&_P;'1'-fj<83!",2,78,1,1,0
61,Blue,39,"[i03]D<WiGLhG\3(Kb$tI[,t9&{3Ntaagogg63OWeUr`&xC#}Gj3@Y*cP*R,q!#}3t'7\$MSF%[x_OnDMGXt~gE+_&9remq'/.?XYiwlk",2,105,1,0,1
62,Red,104,_vKl+hpRIFRyx<v[gGcY9Nh99`q`PhBu'o,2,34,1,0,0
63,Green,63,">@qM}7'TL6+@W5]alLLp0g>o{.x-EP0\kEs{+5)d6mh_dbC.(_9m/3LG&!2aQaR&A#],",1,68,0,1,0
64,Red,60,"4wpJWUg:N&>&1AZ/D+},@Fo.E>?LX]KCbys{qOwPMHuelH-OZA&Y/fa|q58;",1,60,0,0,0
65,Green,76,zOG7u|g&S)r}qn'>fLLiL#)tBTrJ[um7h&Ex5.JlXanm*n:\Qp&h.9k;mM}g48hO87;?0>Q,2,71,1,1,0
66,Green,38,"""w>_.`3UMC'.+,+KO5\gc7M,jQe<b""v|t/6OUFK<QU$#%Bvuny!`Hzc8",2,56,1,1,0
67,Blue,34,"HI&~fy1jhvX*]+-QFj$8SgOm4 -@8,r4TZJBY_F-U{f@/d""5IO8:dcpX}""",1,58,0,0,1
68,Green,68,"2% ""|XyH[B@e(eTAIobeV']R[{_#,H,8rXcz`mHH9 /8kHrgA\WU^y]Ze\8",2,59,1,1,0
69,Green,34,/_n/8lV~9eSz<3gQg0.BN)kNR3xaaTT^B$ts&G/cs`=S;2x22-IRK0kls/=,2,59,1,1,0
70,Green,28,"a0O>VpK%)[|bozu<4S::n%pO\l3@?o'H8y$UMVXHm=vyB43=x""1h;k!>[g~z[s#$^",2,65,1,1,0
71,Red,62,"Al*t'D-n(~%Lzcp\XRg0:J:HuS^i:xXRLfaTU=<yj1=|gfxsn4`7&9hCEHIxN0-Jo""EvZ_h~xqr^7B%J$$,7x#C",1,87,0,0,0
72,Blue,21,"CI-b :6hrG{q}W|3pav}DD[I,mN`IqQvqU6Z9",1,37,0,0,1
73,Green,72,0a-VE>`mZygWnBhQ)9k<WP<[h3{IyCictc $h[@7T6z7sTF17lez]LN!M$kJ65Ur>,1,65,0,1,0
74,Green,71,[;{u8VsGJh%l>\}I<7s/D3)&uCe&+HNUkoe3;SJwL}#jH 0S3J\`MSVwuvR6x,1,61,0,1,0
75,Red,92,YC1^FPXR`D~GkX$~9Sz]f26R71e*oN,2,30,1,0,0
76,Green,25,"exyVTRtR@<4,9VG1$d`$Ph)d5iNgaF;ePC0QSz1aV@X",2,43,1,1,0
77,Blue,3,^Zipi{~7bB(5VBX9}R.@U&$q;$;U#tPcB('7^n:o%qis=p>xm$pG]|dP|xpVi|@WHcW?;bugST7$)A^Y0RE{KKt_.,2,89,1,0,1
78,Red,98,wn,2,2,1,0,0
79,Red,92,d$f6F!a'zu/GZ-/&OF*bJn(6A+u;?Wn-K'Egb)<!b[&5)t&fo>OD*`F%A`@}+&E8,1,64,0,0,0
80,Green,74,m&M/oK9J8Z#l!ehpTe/i2{zq8yfz~K%@\e4xEcp@OL6JBp)iiq(A~p_AX5~LC~WKUjj|~p&|}r#W(c,1,78,0,1,0
81,Blue,37,"Mnx`GAguPeBaDY=""H 7.hh?%45wUJGW+x=ZWU_;[?Uw%5M9JwxyKn)7~`4Rj*3Tay&tp{sS70=e.jO/9[y",2,82,1,0,1
82,Blue,47,"=noV|:1@!?5;Z&h:y}""3|anS6fS*""7otOviud1vV=@[h}PA19{S=OCWhPmL@4.3rs;9O-U^S",1,72,0,0,1
83,Blue,0,"HX!zL??yRb;^\hO={rW[8A#lnCB\.6N:h""G)!?F=W{-\Wdu>&^9=H[ivXnJwqu.r:/l ]aAdk/<X$P(;hsSP",2,84,1,0,1
84,Blue,45,">gAy""uPXe`?u<H|>RbGn7%)""""! ocKX{!F6<TFQe-Q'(_rX Uz _3St`hb",1,58,0,0,1
85,Green,63,"R ,Ev?}|<x}O2~:yw8fnL5^AA{n676/K3hTOYmVj5!a&9n%Gz?6FNn&T479?i,-iq&B!\W<Ht3](tr$*A",1,81,0,1,0
86,Green,37,Duqcy]?v\S4+B#dL~9:gdmNy&v~3O7.z-EbpH0Bj;@~)d},2,46,1,1,0
87,Blue,33,"Gwn[B+adw2Z[-uqsEAYR[WLSXjzDLc*-k,vpuR}p|S%f0Dq]p@b6NwpB<$MBm~%A.7D-<.iiV`jhfxLxBh8x2+;?VSg",2,91,1,0,1
88,Red,91,7O[X4O(1P1wQQ/:0bk,2,18,1,0,0
89,Blue,75,">v?cc/JqF >QgS9jO.tJmuU)BGd+h])$PNU""*seL8htfM@_7O@LitD=t/zt>Sl*~7D`DX0z~_h&^qH7XEA",1,82,0,0,1
90,Green,46,7zL!>Uyt2d6g5q.{va%@*}XG//O9t}3+@h2BX: 4a*6$hzMw,2,48,1,1,0
91,Blue,21,"omf6c&)le9in?jJS;A1vZ3j3|2n&^9Hn2'l!(d4LOW~qV-s2oC-4m)8pz:{8f';""SJc2FMd=Q)yH%80<]AvST|NxRRMZq&TtX_7",2,99,1,0,1
92,Blue,81,:e!dB`<`bsek7LE-7)oX\%8SJ6](2Xn,1,31,0,0,1
93,Green,42,"g+D+8DmOa?C3pO/Pg_2Wz.+J{,la GK :O:\5t%L-6CYw1an[];;t_""EYKAUMT^8B1,h<2z=gY5=",1,76,0,1,0
94,Green,38,"<pb||NsXF.D%}/9mH5 rclTerlPO&W[x(*uq'_5WKfqC)!brS#;}rOsB>Qu!4""ok`ikJ",2,68,1,1,0
95,Blue,26,"~6v*Ubca^7f&Fl?;mf.XE^$mr|^>(>1:JcK4 F""5gH)S=IJHMb8 /M!F""A}_m/[feOj.""*<D8P37]`Hv*)3VZ;%",2,87,1,0,1
96,Red,53,"p0qHKY,@00OR-{-jFcNOx#\ KX\ur""M,wC~XM2%o1`4#/ H^"")^<FB=uy77;@@:",1,63,0,0,0
97,Red,22,u==]&o}iWW]mrqQC[Ra%)>4*JtGdk:&(=^t[]kq6p`RXU,1,45,0,0,0
98,Blue,34,"!1p3aDk~0_]>'?F4_R_q}8F(~}F~g-nYJ:jrndt?TdZa\/mF,{=i_/y",1,55,0,0,1
99,Red,95,"CZL,Zv=,\TXF1Q1}\> ^xZJie",2,25,1,0,0
100,Green,45,"0]0w1lij Re,&",2,13,1,1,0
101,Red,83,"1*g|6BxX:""CMB",2,13,1,0,0
102,Red,43,"pq_v=ajL:XH3ly]]$'$rz,%.k]\;->YSt7,cPK_4!|_l]2Q7]&Uo|""F{_`5JN@[+]v4)",1,68,0,0,0
103,Blue,21,"XMbwa-R/b,nD7O.D@:07>-cLY:i\\A!Yvn_%k.a)Q!jzkCh;FJ>Gcxd'vF/e< tsUuZ,*37^hE<(HkiBy_[=>M*Eu'@0j$",2,94,1,0,1
104,Blue,3,"|>.|!6aC2 kzj9sBV8pyhUgr]Z#7g}w~(k}GR=Ne|Oi=Eo8I)SGBk*JIZ>w(Zod%Qm`y_0v*{ZD.,={?4XvJb/t&Ryx6nh7(KRml$u!\.",2,105,1,0,1
105,Red,22,YNg@mVCkXhljjR:JDg1dRJFKufrj8BimUJY,1,35,0,0,0
106,Green,48,J[:!1FC~.Qen61xqp%{-sOw,2,23,1,1,0
107,Red,88,VbT,2,3,1,0,0
108,Red,31,")%Y6N[`VDER=1Y65E##4.PE""n2VH!Ca*Z-(>%t^L$1uc`a7y[S7+7NQ~",1,56,0,0,0
109,Red,56,"ZN'q&paFf]G=]'NL*8%gR:8gw),I4^n}7m'Tv`J%=v|&kV~R",1,48,0,0,0
110,Red,62,"%jDwqq""Ie355d#t\2Ug%G$$b'&.6?|5+_u3d`2yd6-1PkBpv\ZZJ>N",1,54,0,0,0
111,Blue,6,"\<sG8-kxG0""0/9#%^>}=M#<\/Ul,,L&""tBtj)>_[&^!pR+A\V8a&Ef]/0IN#Fwxo,T_ |//BL8",2,74,1,0,1
112,Green,42,"%#R4UFVL{jt&Zis{{o PNQd=JI"" !nXh)?,YPd>r~L\p*r:b%ZS{TWOT<w",2,58,1,1,0
113,Blue,20,"yXj|:Pym(P@!)@(rMg4<wUqNp""W=K2`q^rKW52=(=L7""8""zo^A)&mj#VH:^^f#N9XqI3#zMx3<:fEOq+\pK#@g!A,]>}}<12b|6@T",2,101,1,0,1
114,Blue,24,"$l=d ]S$_@cA{U*y^ZU'cF?y]}yP,Sl9,tHc/88`WXoG7!hV:@JQ,p'fqzk7[*m^5keM5",1,69,0,0,1
115,Blue,42,"L/uV""K4J)=i6x3ob#Px4sLKl8mPQb;3pVM^|97~^}Fur`3Fx u*Da xJeO'OFs,6l%",1,66,0,0,1
116,Red,92,8y tp$Px|ZoxZ|Pa_<tA?6e+^,2,25,1,0,0
117,Red,73,K,2,1,1,0,0
118,Green,65,"<lV%Rof,5zD)$hnTsjA(`r[l`\`9D>y{ Likm|ybww<#8@{=VwG.Zgf<!jNv2|0_5k22",1,68,0,1,0
119,Blue,28,"Zwg^H4n+WJP~;t+_{\IiAl>ne&n)VYFkY11T5O%-5%H"",YjhK[zUA`bL",1,56,0,0,1
120,Red,18,"mXE|F|I!IG<*2r*Hs]6V?=6v@ne'%8QWTy/7""FXj2x d.Db!M=RrkOB:s(T.1jYh1aUq*]r",1,71,0,0,0
121,Green,66,"}CpPtEB3'RYOdRT4}Id~6n?c}OH@,%w3pNh9FN;zKlD^>N6P\*.\^TO:mW4Zbh]TJIA]aQf=.mI""Hg>",1,79,0,1,0
122,Red,104,=8{gooZW^`dXB0M@f_k<,2,20,1,0,0
123,Green,21,"20P#?:-ssGIMc;>np@a[$$53_ffZz#' "":WiD%XN'W#5fL5z[|xBj`8PLG:UZbvSm9EU/:A~^",2,73,1,1,0
124,Green,57,&8>NrB.atby3ML3qhZ}gbGUu~29gn_Orey%u4}JS\9eE9S]pj\XNf/:b,2,56,1,1,0
125,Blue,12,"V,rH!~OVW1-d:}^1qmuOYq!o@r%9qq5""$R/.<c_FihW'GBuh["")y}BQ:LitxOMyW>NQku""LI 0V",1,75,0,0,1
126,Blue,5,"M3^!4.{AHP$,;Ay \NE*O;JQZ:#2qz)?t7P}b9*ZH2T;q-;J{a^ \A=e&*d;po@S#;m52#",2,70,1,0,1
127,Green,64,]CD$+dtoLP>-.Q(ozKsW{oqHn*3Z`]f$[du8RB|O/|b#{`nrr,1,49,0,1,0
128,Red,58,"mj%NGL6oM5P*YD,l)E1QMSb.1K@wocL{?<#[!:>=e\=g{""R1l(VoRv?T2:6eN::p[8Y32rwN%l=:""=#K={1;""`)""GI}b.U1.bL",1,98,0,0,0
129,Green,69,"A/_Y<FJ;7~aid{IB2J3Gv.$ykl}~Bf5RFX)#CIRt86X$""@$:)s~w9F`~7D)a``FYTLu8`|<Na~'aRY,/TU!p",1,84,0,1,0
130,Red,72,"b#%h&jfu&}<xcB.+^V~W%c\`Wm,m:O,1sFs64Xw~N:T#=MV((Hd>dc(~t.M=d7cUoN~"":j/>er'iEnG",1,79,0,0,0
131,Blue,-19,"0uVsk~ug#<LNQ*x]P"":s?M}zC'hFl%BLQ1Z;.)7ExONHwSh]\iMVuqChg8D-]p.+XLprV3""|J?.8i0>b@i9x)[q.U&2*",2,92,1,0,1
132,Blue,-7,"yh79!s_]/{$0ttc#cmyx-\lsY s85f,c<g'WIRS)vx*@G;&&{TDC>d5vG - i|`Ct@!$(xR,mx<?@Rz][8S=:Wz6",2,88,1,0,1
133,Green,63,y%'OC?@PoO!>;P9b=FVFfca~nh;q}6[7gc|IcD}Mh'S}VQisM\$`ICZIn`Tx}6^6>VC,1,67,0,1,0
134,Green,51,uBe(.,2,5,1,1,0
135,Blue,23,"~Ev@RNQ^p(_.zcbZ,_>o&zneFvF|w87""Q.u+|]$DX=L:}0vF#o9[[]=f;lt[iCkP)\wH_fR)R2Hi[1d8HomZC}61DE",2,90,1,0,1
136,Blue,-8,"r:MY9v85GI=]kAYvJd-}hNNbS`v /}NhQGi6r|%T@Tj\G=>K~5kyuf(=*Q@6ydeYm3pL<50N""!$6iV+",1,79,0,0,1
137,Red,49,"ejvwGI}""l1g39022W+`8GRi8!9cv^KUlq\P}BBx7Vpo~H03",1,47,0,0,0
138,Blue,3,suRD%45[/+ep%k1l8&p[.sE%:PnE_H3{`pgY8CA;;`>(>kH@~i v6LJC%]_`95eE2BrO$U)A`p1Zk7z^}c~;gk{yRS-.h,2,93,1,0,1
139,Red,35,";avpF/-+*""7QWm?G~vHe TfL$:C-Y=aH:k@%C#[z;eG7V[fu5}}",1,51,0,0,0
140,Green,65,"[v6=)?g)}""x_~!yXjmuK2e$VNis\Z\w'TNrRK-fB`g?>dZ#;=Uf(IqX8#`_W|k3$qWq;Cl2/i[^U*!81AIOr`",2,85,1,1,0
141,Red,54,"!G>Yph(6CCv_CZ\_;3ETMobiE""VC6oCxe.um~dsnTT&rKK5cKz;Kt3+Qi#N0&"".g],}g7oQSQgj]b?(=I?QK`TIuT]q",1,91,0,0,0
142,Green,50,"!oQ?sz|82~L:<k'[e^`N_E@,O_C,k[hZOP{hn^:S$e;nOcP9ZZnc{.\y,wA%9;:r`<2y&92oi]<:Cu53^X+6]pCk',~`",2,92,1,1,0
143,Blue,69,"Q6Y`i$B6BMO$]Z4jgA&A?A8G Cu`k""Zk+8Z,nQ9B`:!O1<=N=""=lY])Kw+bm{_U2!XUi\dG9yPKv-6]bD`S4n[<:X%_V8=c->^/ny",1,101,0,0,1
144,Blue,2," OZ*k6,] sUttiIh:BQF7U#N9jiY!T[0B+&@+SFG'5gpdny4#x :xBc-)!IEqV;Z?2RDdC^PFjI}2xcvX1SiQ0K!~eaHQ\""'h+E+MUIOk3 z7qZ[",2,112,1,0,1
145,Blue,-4,">CRhu""I\{HvnXk2""+D+&XM(5T!zEz6IOj#\H.j56iDKV^cBSgC{]T,+LC?0i{8/k,t]>FtKOV`1G@HvN~j5IN#&@Jb",2,90,1,0,1
146,Red,94,1xRrk!QDWfey773R19b\pCxviNO,2,27,1,0,0
147,Blue,14,=zJd53:1Ei8(aA$B8HKfYU;I;@}Ui|!gq0)^V.3f~zw41#rwwwqh{Z%[(q/}&n3l8h.)-PznW5d4{f('x`V%,2,84,1,0,1
148,Green,62,"j2J&""`;zd=TK874ep{g)DH8=GKpiwdUlC5W&.q*I6+#x%7""Wq<ojkft/<""lZH'',",1,64,0,1,0
149,Blue,29,eM F^xncj31bnLV&e-:;~3Z;OupMUSWCa>t[5qEXOa{z5w6s8,1,49,0,0,1
150,Red,22,dX^9G%heEg{}6#zf}_C@Xj41XA~>tYc*+v-VZI{,1,39,0,0,0
151,Green,66,"K_&>OoRh<wY46HX1CO`)<se9O""KM1Zh0=P;MT:1{cw",2,42,1,1,0
152,Red,91,"3Av,orZDU*Sx$ 0B#N}=seK",2,23,1,0,0
153,Red,24,"MP\UL! J9p?l%(Pc >kZxbAeTT-~R~i12'nv+jy5{GRlV=*4Se5i!<c*k/TpO]VIiKl0$B_v,|lT\:<$LkHoP",1,85,0,0,0
154,Green,61,"0Lq""r-\=dg]2n,t:WIGiOPH8 >?Ts$8wg|Lz*;.m|r+,LMhzxt ~6.<AhjbZrD&AmPYBC:eO",1,72,0,1,0
155,Green,38,"e W(-AaJFo\hND, Ox&vrru}}/|/<}_2bj<]Sf27? -WaH7g\]qgjpBz*0/,u(8&20\XT",1,69,0,1,0
156,Red,64,"w,v#`M7/=iXMYM<Ff 49{^",2,22,1,0,0
157,Green,80,"23{%/J#&T1zl(vb)F +/J~[d9Mv3kFJX`Bxzv -9z(I9exoJ6zK*D)aw?e |/pD',__KiS7:TV$mSM)M",1,80,0,1,0
158,Green,44,"Y\xmUArgM$""*! jH7'l>nM{;4cbgD0zxvq^'J,xOq9$;ysV""K$Qop1WjcLR<wKB1LZXV""BN0V5",1,74,0,1,0
159,Green,82,"CuV!~V""pg(+E^Z'{s*_Fd]Zfv'jb(x8m6{if})xQ,nT:G&pgaFSb-4""v!8 1!.0rJF8WJSu0I/D:IwGwC",1,81,0,1,0
160,Blue,-5,"Dqu]H45-JMgv3IfI|v|Q,\478k/?5Zz^Z%:V\>]N9 QI:yJU]%x.-Y0vw1mp""{""|2nzuK_8*7wJZWnOgcb$o<#,2",2,88,1,0,1
161,Green,24,"_[yUXv*^%8/y12R.eN-1kB:t7:]O`'_F8""~B$H5xgh9!l| ilo({QuG[=z[h",1,60,0,1,0
162,Red,98,^l|p9%g^J,2,9,1,0,0
163,Red,92,9Z5R<D`8y`X<rh';k,2,17,1,0,0
164,Blue,21,"3`#REa{^25x8E"";i}S:/SZmr@bO#)Wrudo/)U2kGaVQ!Q}(qC8akl9M@marG2$q;llt{E8cN9$e|4j>qg2f]6DT}",2,88,1,0,1
165,Green,53,"]j_@f$J}_}X{c0Ntt&(]1&ULvkL^ZL[k9qGK,$3kT1Q",2,43,1,1,0
166,Green,31,"'70 *$fJ3q2=5m>z4<4d*u#)?""FP!O9#-q",2,34,1,1,0
167,Blue,16,"J""~sU#1]uf;]X(>Q\w\mfVl+Z3b<#4(R1jF .3oEOk;}#u(kIy U,=pAdVy4guzSF>MQ"")s1<`C",2,75,1,0,1
168,Green,82,"Re<Fkg~:A\R'VG_N`^JbfY/|b`N^:<FLT[?7r<W/<C,oSD(gd&SIAWv R'HRrsns,hH{R4jO-c^",1,75,0,1,0
169,Blue,-19,"y53d14-7zpk(;`Dtr2{SvX=1.4aFAq@vXC-kaI(1b ""+yj+}'7;jfC*OJ?fjAKvYBV@tAi~zdBAb5puNn]7Wr\5V%ZeQr8$",2,95,1,0,1
170,Blue,-3,"}I?!N_87s2x/fz%Kc@n4+HV/S""]'f*N[z0z~|GFXukF}OwTlI`EAs6O_l(eu}*|y2'#,;]e]/:Ed,""+M/6-K17?Cf2u",2,91,1,0,1
171,Green,61,"6[]KTO}xQL%kmWcd1^`n+t3\/""~6P9FezN1@l{rXbpKg}#bivb:l9n{>~^vA""~~v% 5ua6\7@rp",1,75,0,1,0
172,Blue,-2,"+i/5`*dU,mS3C]I?_,hV^Hd]2<vfTF;nr:[z9]@k<V%4y>gGC$<(A.o&!i@H{H""{}]IW""C69o}&p5c[""=7",2,82,1,0,1
173,Blue,2,"?m_)Ux T('iHO#m|#Z0j_&ExUN~)-E%:spz:[1'T^q3+,E~_):p}50m]3`JsEiVL=iJbDA~')kKE1Q3)2<=+1oY/S1S",2,91,1,0,1
174,Blue,57,"|@A:C3s%TzwI/jGCZ$XGb$]'|r[4QbK.&k""nenG4TV34Km!PLqqv%&'<p4C|9{ls8>Yy",1,68,0,0,1
